0,0,0,0,1,something new
0,0,0,0,2,something new
0,0,0,0,3,something new
0,0,0,0,4,something new
0,0,0,0,5,something new
0,0,0,0,6,something new
0,0,0,0,7,something new
0,0,0,0,8,something new
0,0,0,0,9,something new
0,0,0,0,10,something new
0,0,0,0,11,something new
0,0,0,0,12,something new
0,0,0,0,13,something new
0,0,0,0,14,something new
0,0,0,0,15,something new
0,0,0,0,16,something new
0,0,0,0,17,something new
0,0,0,0,18,something new
0,0,0,0,19,something new
0,0,0,0,20,something new
0,0,0,0,21,something new
0,0,0,0,22,something new
0,0,0,0,23,something new
0,0,0,0,24,something new
0,0,0,0,25,something new
0,0,0,0,26,something new
0,0,0,0,27,something new
0,0,0,0,28,something new
0,0,0,0,29,something new
0,0,0,0,30,something new
0,0,0,1,1,something new
0,0,0,1,2,something new
0,0,0,1,3,something new
0,0,0,1,4,something new
0,0,0,1,5,something new
0,0,0,1,6,something new
0,0,0,1,7,something new
0,0,0,1,8,something new
0,0,0,1,9,something new
0,0,0,1,10,something new
0,0,0,1,11,something new
0,0,0,1,12,something new
0,0,0,1,13,something new
0,0,0,1,14,something new
0,0,0,1,15,something new
0,0,0,1,16,something new
0,0,0,1,17,something new
0,0,0,1,18,something new
0,0,0,1,19,something new
0,0,0,1,20,something new
0,0,0,1,21,something new
0,0,0,1,22,something new
0,0,0,1,23,something new
0,0,0,1,24,something new
0,0,0,1,25,something new
0,0,0,1,26,something new
0,0,0,1,27,something new
0,0,0,1,28,something new
0,0,0,1,29,something new
0,0,0,1,30,something new
0,0,0,2,1,something new
0,0,0,2,2,something new
0,0,0,2,3,something new
0,0,0,2,4,something new
0,0,0,2,5,something new
0,0,0,2,6,something new
0,0,0,2,7,something new
0,0,0,2,8,something new
0,0,0,2,9,something new
0,0,0,2,10,something new
0,0,0,2,11,something new
0,0,0,2,12,something new
0,0,0,2,13,something new
0,0,0,2,14,something new
0,0,0,2,15,something new
0,0,0,2,16,something new
0,0,0,2,17,something new
0,0,0,2,18,something new
0,0,0,2,19,something new
0,0,0,2,20,something new
0,0,0,2,21,something new
0,0,0,2,22,something new
0,0,0,2,23,something new
0,0,0,2,24,something new
0,0,0,2,25,something new
0,0,0,2,26,something new
0,0,0,2,27,something new
0,0,0,2,28,something new
0,0,0,2,29,something new
0,0,0,2,30,something new
0,0,0,3,1,something new
0,0,0,3,2,something new
0,0,0,3,3,something new
0,0,0,3,4,something new
0,0,0,3,5,something new
0,0,0,3,6,something new
0,0,0,3,7,something new
0,0,0,3,8,something new
0,0,0,3,9,something new
0,0,0,3,10,something new
0,0,0,3,11,something new
0,0,0,3,12,something new
0,0,0,3,13,something new
0,0,0,3,14,something new
0,0,0,3,15,something new
0,0,0,3,16,something new
0,0,0,3,17,something new
0,0,0,3,18,something new
0,0,0,3,19,something new
0,0,0,3,20,something new
0,0,0,3,21,something new
0,0,0,3,22,something new
